codigo_departamento,n_mero_de_garantias,valor_garantizado,fecha_inicial,fecha_final
5,123632,5463802290478.688,01-01-2020,26-08-2021
8,40419,1829944057870.3528,01-01-2020,26-08-2021
11,170075,10298122755618.98,01-01-2020,26-08-2021
13,31822,851973565550.8804,01-01-2020,26-08-2021
15,32465,566919941437.0782,01-01-2020,26-08-2021
17,23476,410994622253.9898,01-01-2020,26-08-2021
18,10129,151142183228.39493,01-01-2020,26-08-2021
19,27112,341460039483.9827,01-01-2020,26-08-2021
20,22526,382218191987.51294,01-01-2020,26-08-2021
23,30983,437591350878.0543,01-01-2020,26-08-2021
25,58828,1267355994887.353,01-01-2020,26-08-2021
27,5855,68045106622.54557,01-01-2020,26-08-2021
41,35428,599583797575.3164,01-01-2020,26-08-2021
44,12517,127293888636.84062,01-01-2020,26-08-2021
47,25450,334574784787.5411,01-01-2020,26-08-2021
50,27385,686654953493.1096,01-01-2020,26-08-2021
52,45663,667172362992.8208,01-01-2020,26-08-2021
54,25309,667410475699.9694,01-01-2020,26-08-2021
63,17139,328426521760.8071,01-01-2020,26-08-2021
66,22433,622766570742.911,01-01-2020,26-08-2021
68,53554,1462880468501.4268,01-01-2020,26-08-2021
70,20790,244009842371.52667,01-01-2020,26-08-2021
73,39541,610218372047.7191,01-01-2020,26-08-2021
76,107319,3122406984875.7334,01-01-2020,26-08-2021
81,6100,103865495874.48477,01-01-2020,26-08-2021
85,10213,247650684654.86978,01-01-2020,26-08-2021
86,10984,122148121356.67839,01-01-2020,26-08-2021
88,1115,86097153760.22745,01-01-2020,26-08-2021
91,915,20982788124.427082,01-01-2020,26-08-2021
94,633,7943850955.0,01-01-2020,26-08-2021
95,1903,29990042375.583332,01-01-2020,26-08-2021
97,589,4642863711.666667,01-01-2020,26-08-2021
99,289,6978280563.895833,01-01-2020,26-08-2021
